beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg
1.21802,2.79895,1.31538,0.0,3.08,2019-05-10 00:00:00.0,0.77,2019-08-16 00:00:00.0,1.57,0.0,7.49297,0.0,11.66718,37.61269,38.0506,233.47,0.0,142.0,85.20782,899832.3,4597.901,19.9276,21.69136,23.12333,25.33599,8.51168,13.24763,16.76241,2.237085,3.48111,1.2633,15.8055,48.18294,21.30287,0.0,4.47544,0.0,4601.075,0.0,0.0,AAPL,51.54927,106.3952,22963900.0,22963900.0,585636010.0
2.35784,0.0,18.2033,0.0,0.0,,0.0,,0.0,0.0,0.0,23.37506,0.0,0.0,0.0,12.1,0.0,2.62,0.0,701.5884,56.47487,0.0,0.0,0.0,0.0,3.70299,0.0,0.0,0.0,502.5705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.78077,0.0,0.0,ADVM,0.0,0.0,625225.0,625220.0,13701860.0
0.85623,31.06079,3.46119,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.39141,59.50868,60.51562,76.4544,0.0,39.43,0.0,4069.742,57.96267,5.5427,5.291,2.30636,3.20455,8.46652,119.6912,175.8514,0.0,9.36298,3.23171,4.0626,6.76543,5.47783,0.8877,18.83474,0.0,59.12744,0.0,0.0,AAXN,0.0,0.0,1287277.0,1287280.0,15188870.0
0.66686,0.0,6.23734,0.0,0.0,,0.0,,0.0,0.0,0.0,86.04662,0.0,60.05314,79.70192,4.35,0.0,2.75,0.0,144.6858,49.49486,0.0,0.0,0.0,0.0,0.7757,0.0,0.0,0.0,1.98744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06428,0.0,0.0,ACTG,0.0,0.0,104801.0,104800.0,2676700.0
0.94418,0.0,0.0,0.0,1.338665,2019-06-17 00:00:00.0,0.411154,2019-12-23 00:00:00.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,73.69,0.0,60.48,0.0,4036.62,58.78215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0.0,0.0,AAXJ,0.0,0.0,736602.0,736600.0,29469660.0
1.13043,0.0,1.41165,0.0,1.0,2019-05-17 00:00:00.0,0.25,2019-09-09 00:00:00.0,8.18,0.0,36.42045,110.2933,2.14588,13.78757,21.83111,13.52,0.0,9.01,41.54141,228.0809,18.00523,74.5098,105.9809,0.0,0.0,2.16023,5.13245,5.69929,0.156486,5.79253,0.95834,30.16776,45.43475,36.04312,81.90288,0.0,0.0,18.6493,0.0,0.0,ADES,39.15706,64.3576,109153.0,109150.0,4514110.0
1.81947,4.4617,1.68264,0.0,0.24,2019-05-23 00:00:00.0,0.06,2019-09-19 00:00:00.0,3.28,0.0,0.0,0.0,0.93355,31.93704,32.45218,14.625,2.48193,6.07,124.137,747.2916,99.4245,0.0,5.12103,4.5443,10.01399,0.98072,4.41401,7.84104,0.0,0.38734,0.90727,3.53989,12.91672,4.31677,0.0,0.0,0.0,102.089,0.0,0.0,ACCO,56.81048,131.5377,739711.0,739710.0,11191970.0
1.65041,0.0,7.03319,0.0,0.0,,0.0,,0.0,0.0,0.0,20.11063,0.0,96.45949,97.63427,29.49,0.0,4.2,187.216,161.6199,26.84861,0.0,0.0,0.0,0.0,2.52742,0.0,0.0,0.0,3.74484,6.8588,0.0,0.0,0.0,0.0,1281.498,0.0,27.53321,0.0,0.0,ADMS,65.47022,189.6051,343842.0,343840.0,8431980.0
1.32137,0.0,1.53491,0.0,0.0,,0.0,,0.0,0.0,0.0,17.67103,0.0,26.09784,32.43227,5.1,0.0,1.25,0.0,59.77744,43.998,0.0,0.0,0.0,0.0,1.50274,0.0,0.0,0.0,3.55539,1.23901,0.0,0.0,0.0,18.10006,27.23144,0.0,47.44241,0.0,0.0,ADMP,5.82159,6.18144,227681.0,227680.0,6856770.0
1.78904,0.0,6.61413,0.0,0.0,,0.0,,0.0,0.0,68.95172,48.61153,0.0,0.0,0.0,23.04,0.0,4.725,0.0,10.48795,1.4044,0.0,0.0,0.0,0.0,1.11413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41347,0.0,0.0,ABIO,0.0,0.0,141922.0,141920.0,17082680.0
0.38283,0.0,1.12467,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.55,0.0,0.87,0.0,5.87107,3.59036,0.0,0.0,0.0,0.0,1.63435,0.0,0.0,0.0,10.89253,1.12467,0.0,0.0,0.0,308.0,0.0,0.0,6.3816,0.0,0.0,ABIL,0.0,0.0,104447.0,104450.0,3584870.0
0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.4333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACST,0.0,0.0,580205.0,0.0,0.0
1.94412,8.9551,0.58988,0.0,0.0,,0.0,,0.0,0.0,68.98979,0.0,6.64527,52.30056,52.7701,75.0,1.77408,35.04,105.1263,1044.668,25.31709,0.0,8.35837,0.00794,13.51022,0.51334,2.02434,6.08102,0.088144,0.37749,0.0,4.19331,12.08748,4.94682,0.0,21.85361,0.0,25.85171,0.0,0.0,AAWW,54.17242,118.2092,262162.0,262160.0,6114570.0
0.0,15.00743,2.87099,0.0,0.0,,0.0,,0.0,0.0,11.66193,0.0,1.35686,26.98235,27.00127,77.82,15.49132,55.25,6.16949,986.1902,12.94964,3.49146,3.17214,4.48317,4.7417,3.50053,37.51056,55.13465,4.727747,1.79986,0.0,5.33343,7.51694,6.52183,0.0,26.2901,0.0,13.1826,0.0,0.0,ADUS,5.8261,6.18653,101819.0,101820.0,2155260.0
0.0,0.0,1.46771,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,19.82346,24.18662,48.87,5.11111,20.82,34.9428,4183.808,185.0953,0.0,4.13597,5.99485,11.41037,0.81122,3.34437,0.0,0.0,0.32104,0.8259,3.26153,0.0,4.64695,0.0,7.81832,0.0,185.5347,0.0,0.0,AA,20.29034,34.96219,2949516.0,2949520.0,72447040.0
1.14378,0.0,0.0,0.0,2.44,2019-05-03 00:00:00.0,0.49,2019-08-16 00:00:00.0,8.47,0.0,0.0,0.0,2.39388,0.0,0.0,31.4194,0.0,23.34,0.0,2736.789,90.4625,88.22334,90.00105,100.0,100.0,1.91437,0.0,12.03486,0.0,10.62472,0.0,15.50523,15.52055,15.50523,0.0,3.68803,0.0,94.9944,0.0,0.0,AB,0.0,0.0,241888.0,241890.0,4530580.0
1.04142,14.77546,0.57912,0.0,0.2,2019-06-17 00:00:00.0,0.1,2019-07-02 00:00:00.0,0.57,0.0,0.0,208.3905,0.0,19.7175,18.098,46.86,7.7608,32.59,131.018,794.8013,37.071,529.9656,3.52425,9.60532,8.04428,0.89489,0.0,0.0,0.0,34.97014,0.0,2.10367,6.80088,2.43643,13.79377,9.33112,0.0,37.071,0.0,0.0,AC,56.9407,132.2379,10115.0,10110.0,119130.0
2.39457,45.9487,0.16981,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.675,0.0,0.6208,78.54762,19.9885,14.4763,0.0,0.0,0.0,0.0,0.45427,0.0,0.0,0.0,0.07405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3019,0.0,0.0,AAC,95.16438,856.0135,667197.0,667200.0,7869780.0
0.88735,0.0,1.73442,0.0,0.96,2019-06-06 00:00:00.0,0.24,2019-09-23 00:00:00.0,2.86,0.0,90.77222,330.6635,1.59022,2.58913,1.4796,46.84,0.0,31.81,2.27473,141.7238,2.15012,1.10251,0.37138,1.29187,0.33637,0.94044,7.64175,21.12915,0.232771,0.07838,1.53326,2.24153,4.50629,4.17254,0.56907,28.5797,0.0,4.21797,0.0,0.0,AE,2.85569,2.93963,14659.0,14660.0,161820.0
0.913,0.0,1.03661,0.0,4.28,2019-07-12 00:00:00.0,1.07,2019-08-15 00:00:00.0,6.51,0.0,0.0,0.0,3.5362,77.84875,77.30879,100.23,11.31271,65.055,0.0,97126.42,1476.91,31.37455,16.68147,38.45171,19.87932,0.0,13.35071,18.57927,0.0,2.97505,0.9142,8.63684,0.0,11.44731,0.0,10.24922,0.0,1478.332,0.0,0.0,ABBV,126.6935,0.0,13700896.0,13700900.0,138367940.0
1.64881,0.0,0.43599,0.0,0.4,2019-05-07 00:00:00.0,0.1,2019-08-22 00:00:00.0,1.28,0.0,0.0,21.78377,3.05353,60.81822,60.453,43.89,2.18487,27.02,0.0,13905.55,440.3571,1.74792,3.15267,3.54308,5.81343,0.0,3.86587,10.23733,0.0,0.31092,0.35206,2.47223,0.0,3.65238,0.0,3.51819,0.0,444.8351,0.0,0.0,AAL,102.7187,0.0,6631656.0,6631660.0,131081090.0
0.5483,10.89684,0.0,0.0,0.14,2019-06-17 00:00:00.0,0.035,2019-07-08 00:00:00.0,0.23,0.0,33.2686,11.97149,2.86181,96.26244,95.41598,62.67,17.94665,39.28,22.5136,4133.062,66.80662,5.54074,5.12872,7.29718,7.03257,2.27904,1.98074,21.33964,0.641435,1.06352,0.0,6.69175,11.16693,8.20747,1.90488,11.22662,0.0,67.67745,0.0,0.0,AAN,18.37641,22.5136,698065.0,698060.0,11365210.0
0.91421,18.67747,1.34496,0.0,0.24,2019-06-20 00:00:00.0,0.06,2019-07-05 00:00:00.0,0.16,0.0,35.59608,31.61473,6.12996,44.19363,44.08899,186.15,13.91461,133.32,21.05216,11083.35,71.49997,4.82718,4.65243,7.04395,6.35668,3.12452,16.16254,25.20408,0.708058,1.14749,0.31354,4.56291,12.66918,7.54131,0.0,3.22705,0.0,71.73687,0.0,0.0,AAP,17.39098,21.05216,977178.0,977180.0,23133680.0
0.38906,1.16676,0.0,0.0,1.12,2019-06-12 00:00:00.0,0.28,2019-06-27 00:00:00.0,2.41,0.0,47.64093,2546.114,0.66496,65.02303,63.5327,48.11,2.16017,35.37,160.4005,2715.569,57.75042,17.86589,12.85899,33.78028,28.4498,2.73479,19.74485,69.91398,1.467519,8.09521,0.0,1.94718,3.83171,2.00519,3.28552,4.20318,0.0,58.41189,0.0,0.0,AAT,61.65388,160.4005,1328753.0,1328750.0,8957390.0
0.0,0.0,4.93486,0.0,0.0,,0.0,,0.0,0.0,29.36097,1.73812,0.0,0.0,0.0,0.8992,0.0,0.429,0.41473,71.22292,92.92503,0.0,0.0,0.0,0.0,1.33413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.7267,0.0,0.0,AAU,0.52868,0.53149,197000.0,197000.0,3108900.0
